ML Model,XAI Method,Feature Name,Importance Value (Signed),Importance Value (Absolute),Feature Ranking
MLP,LIME,mqtt.protoname_0,0.30767270195274643,0.30767270195274643,2
MLP,LIME,mqtt.conack.flags_0,0.21527565504043886,0.21527565504043886,3
MLP,LIME,mqtt.conflag.cleansess,0.1570498741580763,0.1570498741580763,4
MLP,LIME,http.request.version_0,0.08473240217392113,0.08473240217392113,5
MLP,LIME,mqtt.msgtype,0.07590505053908268,0.07590505053908268,6
MLP,LIME,mqtt.topic_len,0.07291153164528251,0.07291153164528251,7
MLP,LIME,icmp.seq_le,-0.05855964745811794,0.05855964745811794,8
MLP,LIME,mqtt.hdrflags,0.04042698682153548,0.04042698682153548,9
MLP,LIME,tcp.flags,-0.003327774552020788,0.003327774552020788,10
MLP,Saliency,mqtt.topic_0,10.133658409118652,10.133658409118652,1
MLP,Saliency,mqtt.protoname_0,8.025547981262207,8.025547981262207,2
MLP,Saliency,mqtt.msgtype,5.34009313583374,5.34009313583374,3
MLP,Saliency,mqtt.conack.flags_0,5.1635236740112305,5.1635236740112305,4
MLP,Saliency,icmp.seq_le,4.689661502838135,4.689661502838135,5
MLP,Saliency,mqtt.topic_len,4.226801872253418,4.226801872253418,6
MLP,Saliency,mqtt.conflag.cleansess,3.3465192317962646,3.3465192317962646,7
MLP,Saliency,mqtt.hdrflags,2.547966241836548,2.547966241836548,8
MLP,Saliency,http.request.version_0,2.2519872188568115,2.2519872188568115,9
MLP,Saliency,tcp.flags,0.940997838973999,0.940997838973999,10
MLP,DeepLIFT,http.request.version_0,2.3690881729125977,2.3690881729125977,1
MLP,DeepLIFT,tcp.flags,0.5287962555885315,0.5287962555885315,2
MLP,DeepLIFT,mqtt.protoname_0,-0.0,0.0,3
MLP,DeepLIFT,mqtt.topic_0,-0.0,0.0,4
MLP,DeepLIFT,mqtt.conack.flags_0,-0.0,0.0,5
MLP,DeepLIFT,mqtt.hdrflags,-0.0,0.0,6
MLP,DeepLIFT,mqtt.msgtype,-0.0,0.0,7
MLP,DeepLIFT,icmp.seq_le,0.0,0.0,8
MLP,DeepLIFT,mqtt.conflag.cleansess,-0.0,0.0,9
MLP,DeepLIFT,mqtt.topic_len,-0.0,0.0,10
MLP,IG,http.request.version_0,2.3508424079385266,2.3508424079385266,1
MLP,IG,tcp.flags,0.5484930456851993,0.5484930456851993,2
MLP,IG,mqtt.protoname_0,-0.0,0.0,3
MLP,IG,mqtt.topic_0,-0.0,0.0,4
MLP,IG,mqtt.conack.flags_0,-0.0,0.0,5
MLP,IG,mqtt.hdrflags,-0.0,0.0,6
MLP,IG,mqtt.msgtype,-0.0,0.0,7
MLP,IG,icmp.seq_le,0.0,0.0,8
MLP,IG,mqtt.conflag.cleansess,-0.0,0.0,9
MLP,IG,mqtt.topic_len,-0.0,0.0,10
