ML Model,XAI Method,Feature Name,Importance Value (Signed),Importance Value (Absolute),Feature Ranking
SLP,LIME,Proto_TCP,0.0,0.0,10
SLP,Saliency,Duration,23837.359375,23837.359375,1
SLP,Saliency,Tos,218.18606567382812,218.18606567382812,2
SLP,Saliency,Packets,45.5584716796875,45.5584716796875,3
SLP,Saliency,S,16.398202896118164,16.398202896118164,4
SLP,Saliency,R,9.862649917602539,9.862649917602539,5
SLP,Saliency,Proto_UDP,9.495367050170898,9.495367050170898,6
SLP,Saliency,F,7.543588638305664,7.543588638305664,7
SLP,Saliency,Proto_TCP,7.363644123077393,7.363644123077393,8
SLP,Saliency,P,3.8556389808654785,3.8556389808654785,9
SLP,Saliency,A,1.9020062685012817,1.9020062685012817,10
SLP,DeepLIFT,S,7.7508649826049805,7.7508649826049805,1
SLP,DeepLIFT,Proto_TCP,-6.321375370025635,6.321375370025635,2
SLP,DeepLIFT,F,5.606288433074951,5.606288433074951,3
SLP,DeepLIFT,A,-3.6795380115509033,3.6795380115509033,4
SLP,DeepLIFT,Packets,-0.0014895747881382704,0.0014895747881382704,5
SLP,DeepLIFT,Duration,-0.0,0.0,6
SLP,DeepLIFT,Tos,-0.0,0.0,7
SLP,DeepLIFT,R,0.0,0.0,8
SLP,DeepLIFT,Proto_UDP,-0.0,0.0,9
SLP,DeepLIFT,P,-0.0,0.0,10
SLP,IG,S,7.89674228025924,7.89674228025924,1
SLP,IG,Proto_TCP,-6.443481283508359,6.443481283508359,2
SLP,IG,F,5.628798240895547,5.628798240895547,3
SLP,IG,A,-3.695738929007724,3.695738929007724,4
SLP,IG,Packets,-0.0014780731686597757,0.0014780731686597757,5
SLP,IG,Duration,-0.0,0.0,6
SLP,IG,Tos,-0.0,0.0,7
SLP,IG,R,0.0,0.0,8
SLP,IG,Proto_UDP,-0.0,0.0,9
SLP,IG,P,-0.0,0.0,10
MLP,SHAP,F,4.138087272644043,4.138087272644043,1
MLP,SHAP,S,2.8667988777160645,2.8667988777160645,2
MLP,SHAP,Tos,2.729052782058716,2.729052782058716,3
MLP,SHAP,P,1.0704244375228882,1.0704244375228882,4
MLP,SHAP,Proto_UDP,0.7974420785903931,0.7974420785903931,5
MLP,SHAP,Duration,0.7409027814865112,0.7409027814865112,6
MLP,SHAP,A,-0.49439337849617004,0.49439337849617004,7
MLP,SHAP,R,0.2917898893356323,0.2917898893356323,8
MLP,SHAP,Proto_TCP,-0.06494608521461487,0.06494608521461487,9
MLP,SHAP,Packets,0.0029974335338920355,0.0029974335338920355,10
MLP,LIME,Tos,0.3370112744933782,0.3370112744933782,1
MLP,LIME,Proto_UDP,0.2746493081207095,0.2746493081207095,2
MLP,LIME,R,0.24309032236387906,0.24309032236387906,3
MLP,LIME,F,0.20790386196185762,0.20790386196185762,4
MLP,LIME,P,0.13577707100875283,0.13577707100875283,5
MLP,LIME,Duration,0.08961008132500742,0.08961008132500742,6
MLP,LIME,Packets,0.02612377890023794,0.02612377890023794,7
MLP,LIME,S,-0.0130011662418032,0.0130011662418032,8
MLP,LIME,Proto_TCP,0.0,0.0,9
MLP,LIME,A,0.0,0.0,10
MLP,Saliency,Duration,21685.376953125,21685.376953125,1
MLP,Saliency,Tos,98.85149383544922,98.85149383544922,2
MLP,Saliency,Packets,30.90655517578125,30.90655517578125,3
MLP,Saliency,R,27.548126220703125,27.548126220703125,4
MLP,Saliency,Proto_UDP,25.30704689025879,25.30704689025879,5
MLP,Saliency,F,24.477123260498047,24.477123260498047,6
MLP,Saliency,A,21.262771606445312,21.262771606445312,7
MLP,Saliency,S,10.347420692443848,10.347420692443848,8
MLP,Saliency,P,1.5824484825134277,1.5824484825134277,9
MLP,Saliency,Proto_TCP,1.160158634185791,1.160158634185791,10
MLP,DeepLIFT,F,9.14345932006836,9.14345932006836,1
MLP,DeepLIFT,S,5.672186374664307,5.672186374664307,2
MLP,DeepLIFT,Proto_TCP,-5.083484649658203,5.083484649658203,3
MLP,DeepLIFT,A,-3.971923351287842,3.971923351287842,4
MLP,DeepLIFT,Packets,-0.00269759981893003,0.00269759981893003,5
MLP,DeepLIFT,Duration,-0.0,0.0,6
MLP,DeepLIFT,Tos,-0.0,0.0,7
MLP,DeepLIFT,R,-0.0,0.0,8
MLP,DeepLIFT,Proto_UDP,-0.0,0.0,9
MLP,DeepLIFT,P,-0.0,0.0,10
MLP,IG,F,14.284469243774858,14.284469243774858,1
MLP,IG,A,-7.631191949472175,7.631191949472175,2
MLP,IG,Proto_TCP,-7.037222143176482,7.037222143176482,3
MLP,IG,S,6.3478720656726235,6.3478720656726235,4
MLP,IG,Packets,-0.001575763379393594,0.001575763379393594,5
MLP,IG,Duration,-0.0,0.0,6
MLP,IG,Tos,-0.0,0.0,7
MLP,IG,R,-0.0,0.0,8
MLP,IG,Proto_UDP,-0.0,0.0,9
MLP,IG,P,0.0,0.0,10
