ML Model,XAI Method,Feature Name,Importance Value (Signed),Importance Value (Absolute),Feature Ranking
RF,TI,Max Packet Length,0.03860752627076869,0.03860752627076869,5
RF,TI,Avg Fwd Segment Size,0.015190149225396753,0.015190149225396753,6
RF,TI,Flow IAT Max,0.01276504126009591,0.01276504126009591,7
RF,TI,Flow IAT Mean,0.006832178136468691,0.006832178136468691,8
RF,TI,Min Packet Length,0.000767524761556695,0.000767524761556695,9
RF,TI,Init_Win_bytes_backward,0.0005649485055884673,0.0005649485055884673,10
LGBM,SHAP,Init_Win_bytes_backward,1.1183447241228142,1.1183447241228142,1
LGBM,SHAP,Bwd Packet Length Mean,0.9615824680369405,0.9615824680369405,2
LGBM,SHAP,Packet Length Mean,0.6728637614673122,0.6728637614673122,3
LGBM,SHAP,Bwd Packet Length Max,0.5386629527352094,0.5386629527352094,4
LGBM,SHAP,Average Packet Size,0.44344046428172756,0.44344046428172756,5
LGBM,SHAP,Avg Fwd Segment Size,0.1460515299047728,0.1460515299047728,6
LGBM,SHAP,Flow IAT Mean,0.1360155048301752,0.1360155048301752,7
LGBM,SHAP,Max Packet Length,-0.08566567648370968,0.08566567648370968,8
LGBM,SHAP,Min Packet Length,0.042333381460152,0.042333381460152,9
LGBM,SHAP,Flow IAT Max,0.008558845685208007,0.008558845685208007,10
LGBM,LIME,Average Packet Size,0.030085873612681134,0.030085873612681134,1
LGBM,LIME,Flow IAT Mean,0.022081227260803932,0.022081227260803932,2
LGBM,LIME,Avg Fwd Segment Size,0.020229510109615594,0.020229510109615594,3
LGBM,LIME,Max Packet Length,-0.0187355326959027,0.0187355326959027,4
LGBM,LIME,Packet Length Mean,0.01572064321709211,0.01572064321709211,5
LGBM,LIME,Init_Win_bytes_backward,-0.011348038527735197,0.011348038527735197,6
LGBM,LIME,Flow IAT Max,-0.007789016760988108,0.007789016760988108,7
LGBM,LIME,Bwd Packet Length Mean,0.0035863791162791905,0.0035863791162791905,8
LGBM,LIME,Min Packet Length,-0.003344766970187053,0.003344766970187053,9
LGBM,LIME,Bwd Packet Length Max,-0.0001078140896839695,0.0001078140896839695,10
SLP,SHAP,Average Packet Size,15.274778366088867,15.274778366088867,1
SLP,SHAP,Packet Length Mean,-12.164409637451172,12.164409637451172,2
SLP,SHAP,Min Packet Length,4.430595397949219,4.430595397949219,3
SLP,SHAP,Max Packet Length,-2.9062325954437256,2.9062325954437256,4
SLP,SHAP,Flow IAT Max,-2.4296514987945557,2.4296514987945557,5
SLP,SHAP,Bwd Packet Length Max,2.2906901836395264,2.2906901836395264,6
SLP,SHAP,Flow IAT Mean,1.6270344257354736,1.6270344257354736,7
SLP,SHAP,Bwd Packet Length Mean,0.4095030426979065,0.4095030426979065,8
SLP,SHAP,Init_Win_bytes_backward,-0.2843933403491974,0.2843933403491974,9
SLP,SHAP,Avg Fwd Segment Size,0.14876508712768555,0.14876508712768555,10
SLP,LIME,Average Packet Size,0.2406131870299935,0.2406131870299935,1
SLP,LIME,Packet Length Mean,-0.15219058728651247,0.15219058728651247,2
SLP,LIME,Bwd Packet Length Max,0.1365513560510803,0.1365513560510803,3
SLP,LIME,Min Packet Length,0.11312962465233879,0.11312962465233879,4
